127.0.0.1 - - [25/May/2021:19:30:17 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [25/May/2021:19:30:19 +0530] "GET /EP-Project/home1.html HTTP/1.1" 200 810
0:0:0:0:0:0:0:1 - - [25/May/2021:19:30:19 +0530] "GET /EP-Project/bootstrap.css HTTP/1.1" 200 198313
0:0:0:0:0:0:0:1 - - [25/May/2021:19:30:19 +0530] "GET /EP-Project/h1style.css HTTP/1.1" 200 2838
0:0:0:0:0:0:0:1 - - [25/May/2021:19:30:19 +0530] "GET /EP-Project/2.jpg HTTP/1.1" 200 421329
0:0:0:0:0:0:0:1 - - [25/May/2021:19:30:20 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [25/May/2021:19:30:24 +0530] "GET /EP-Project/adminlogin.html HTTP/1.1" 200 2642
0:0:0:0:0:0:0:1 - - [25/May/2021:19:30:24 +0530] "GET /EP-Project/flyhigh4.jpg HTTP/1.1" 200 280718
0:0:0:0:0:0:0:1 - - [25/May/2021:19:30:24 +0530] "GET /EP-Project/astyle.css HTTP/1.1" 200 2272
0:0:0:0:0:0:0:1 - - [25/May/2021:19:40:03 +0530] "GET /EP-Project/adminhome.jsp HTTP/1.1" 200 3838
0:0:0:0:0:0:0:1 - - [25/May/2021:19:40:03 +0530] "GET /EP-Project/sourcesanspro-font.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [25/May/2021:19:40:03 +0530] "GET /EP-Project/flyhigh4.png HTTP/1.1" 404 1040
0:0:0:0:0:0:0:1 - - [25/May/2021:19:40:03 +0530] "GET /EP-Project/userstyle.css HTTP/1.1" 200 6756
0:0:0:0:0:0:0:1 - - [25/May/2021:19:40:30 +0530] "GET /EP-Project/adminhome.jsp HTTP/1.1" 200 3838
0:0:0:0:0:0:0:1 - - [25/May/2021:19:40:30 +0530] "GET /EP-Project/sourcesanspro-font.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [25/May/2021:19:40:30 +0530] "GET /EP-Project/flyhigh4.png HTTP/1.1" 404 1040
