127.0.0.1 - - [24/Mar/2021:07:50:07 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [24/Mar/2021:07:50:07 +0530] "GET /ImageDemo/index.html HTTP/1.1" 200 196
0:0:0:0:0:0:0:1 - - [24/Mar/2021:07:50:07 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/Mar/2021:07:50:37 +0530] "GET /ImageDemo/index.html HTTP/1.1" 200 327
0:0:0:0:0:0:0:1 - - [24/Mar/2021:07:50:38 +0530] "GET /ImageDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:07:50:38 +0530] "GET /ImageDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:08:04:51 +0530] "GET /ImageDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:08:14:26 +0530] "GET /ImageDemo/index.html HTTP/1.1" 200 401
0:0:0:0:0:0:0:1 - - [24/Mar/2021:08:14:29 +0530] "POST /ImageDemo/imageupload.jsp HTTP/1.1" 500 2784
0:0:0:0:0:0:0:1 - - [24/Mar/2021:08:17:35 +0530] "GET /ImageDemo/index.html HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [24/Mar/2021:08:17:37 +0530] "GET /ImageDemo/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/Mar/2021:08:17:38 +0530] "POST /ImageDemo/imageupload.jsp HTTP/1.1" 500 2784
0:0:0:0:0:0:0:1 - - [24/Mar/2021:08:20:25 +0530] "POST /ImageDemo/imageupload.jsp HTTP/1.1" 500 2784
0:0:0:0:0:0:0:1 - - [24/Mar/2021:08:20:52 +0530] "POST /ImageDemo/imageupload.jsp HTTP/1.1" 500 2816
0:0:0:0:0:0:0:1 - - [24/Mar/2021:08:21:49 +0530] "POST /ImageDemo/imageupload.jsp HTTP/1.1" 500 2816
0:0:0:0:0:0:0:1 - - [24/Mar/2021:08:54:33 +0530] "POST /ImageDemo/imageupload.jsp HTTP/1.1" 500 2816
