127.0.0.1 - - [11/May/2021:19:46:29 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [11/May/2021:19:46:50 +0530] "GET /EP-Project/viewoffers.jsp HTTP/1.1" 200 4405
0:0:0:0:0:0:0:1 - - [11/May/2021:19:46:59 +0530] "GET /EP-Project/bootstrap.css HTTP/1.1" 200 198313
0:0:0:0:0:0:0:1 - - [11/May/2021:19:46:59 +0530] "GET /EP-Project/offersstyle.css HTTP/1.1" 200 1608
0:0:0:0:0:0:0:1 - - [11/May/2021:19:46:59 +0530] "GET /EP-Project/off3.jpg HTTP/1.1" 200 195633
0:0:0:0:0:0:0:1 - - [11/May/2021:19:46:59 +0530] "GET /EP-Project/of9.jpg HTTP/1.1" 200 128415
0:0:0:0:0:0:0:1 - - [11/May/2021:19:46:59 +0530] "GET /EP-Project/of8.jpg HTTP/1.1" 200 164468
0:0:0:0:0:0:0:1 - - [11/May/2021:19:46:59 +0530] "GET /EP-Project/of5.jpg HTTP/1.1" 200 2122647
0:0:0:0:0:0:0:1 - - [11/May/2021:19:46:59 +0530] "GET /EP-Project/of3.jpg HTTP/1.1" 200 130714
0:0:0:0:0:0:0:1 - - [11/May/2021:19:46:59 +0530] "GET /EP-Project/of7.jpg HTTP/1.1" 200 55923
0:0:0:0:0:0:0:1 - - [11/May/2021:19:47:02 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
